id,1hr,3hr,5hr,6hr,6hr,7hr,8hr
EMPTY,14.9078,13.5345,13.1457,12.5346,12.7986,13.0361,12.6581
S0_M_T1,6.8163,5.7816,4.4092,3.9849,4.2918,4.0686,3.4696
S0_M_T10,7.0343,5.2962,4.2717,3.8474,4.0288,3.9532,3.2475
S0_M_T1001,6.7562,5.3435,4.4092,3.8474,3.2146,3.2146,3.2146
S0_M_T1002,7.3097,5.7112,4.8566,4.2259,4.0288,3.9532,3.4696
S0_M_T1006,7.1082,5.1442,4.8566,4.1104,3.5142,3.3691,3.2146
S0_M_T1007,6.3719,4.8487,4.4092,3.8474,3.2146,3.2146,3.4696
S0_M_T1008,6.4498,4.5592,3.5347,3.2146,3.2146,3.2146,3.2146
S0_M_T1009,6.5237,4.1967,3.5347,3.2146,3.2146,3.2146,3.2146
S0_M_T1013,7.6768,5.9743,4.6502,4.3328,4.7943,3.9532,3.2475
S0_M_T1014,6.9019,5.3893,4.4092,3.2146,4.1663,3.5388,3.2475
S0_M_T1017,6.4498,4.5592,3.9498,3.2146,3.5142,3.2146,3.2146
S0_M_T102,8.0338,7.1967,5.9941,3.9849,4.7068,4.9524,4.1209
S0_M_T1022,7.2457,6.1172,5.1197,4.9178,4.7943,3.9532,3.9835
S0_M_T1027,7.43,5.7469,5.0372,3.5255,4.5142,3.2146,3.2146
S0_M_T1029,6.9828,4.6372,3.2717,3.2146,3.2146,3.2146,3.662
S0_M_T1033,6.4498,5.8487,4.7571,4.6129,4.2918,3.6905,3.2475
S0_M_T1034,6.9019,5.6372,4.2717,4.3328,4.2918,4.1754,3.4696
S0_M_T1039,8.5758,6.5186,5.2717,4.4324,4.9548,4.0686,3.2146
S0_M_T1041,7.2673,6.7469,6.1977,5.2259,5.7943,4.7599,4.9829
S0_M_T1047,9.901,8.4715,7.7179,6.8109,7.2146,6.6522,5.8306
S0_M_T1048,8.0083,6.2473,4.7571,3.8474,4.0288,4.3678,3.662
S0_M_T1050,8.7629,7.9207,6.6777,6.1104,6.2918,5.6525,4.9089
S0_M_T1051,7.3509,6.1172,5.2717,4.8474,4.6137,4.3678,3.662
S0_M_T1052,7.4865,6.004,5.0372,4.3328,4.6137,3.3691,3.662
S0_M_T1055,7.1082,5.3893,4.4092,3.9849,3.2918,3.3691,3.2146
S0_M_T1056,6.7252,5.4337,4.8566,3.6954,3.8768,3.5388,3.662
S0_M_T1059,9.7004,8.6133,8.0478,7.3584,7.3651,6.8746,6.5431
S0_M_T1060,6.5237,4.9129,4.4092,3.2146,3.2146,3.2146,3.2146
S0_M_T1063,6.4114,5.0898,4.1197,3.6954,3.8768,3.9532,3.2475
S0_M_T1065,7.523,7.1967,6.8805,5.9849,6.4617,5.615,4.8309
S0_M_T1072,7.3097,6.0617,5.0372,4.6954,4.7068,4.0686,3.4696
S0_M_T1073,6.8739,5.6747,5.3421,4.1104,4.8768,4.2748,3.4696
S0_M_T1075,6.628,5.0898,4.1197,3.2146,3.2146,3.2146,3.2146
S0_M_T1076,6.7252,5.5592,5.2717,4.1104,4.2918,3.2146,3.4696
S0_M_T1078,6.1092,5.5988,5.1977,4.7734,4.8768,4.1754,3.662
S0_M_T1082,7.0088,5.3893,3.5347,3.3328,3.2146,3.3691,3.2146
S0_M_T1083,7.4491,5.9439,5.1977,4.6954,4.9548,3.6905,3.662
S0_M_T1086,6.3313,5.0898,4.5347,4.1104,3.8768,3.2146,3.2146
S0_M_T1087,6.3313,5.8812,5.1197,4.5255,4.7943,3.8279,3.4696
