id	dg	x0	t0	mse	rsq
EMPTY	0.33256	11.9167	1	0.061665	0.91791
S0_M_T102	0.1	2.964	1	0.25376	0.35832
S0_M_T1039	0.23852	5.8271	1	0.51969	0.40565
S0_M_T1052	0.19001	5.0128	1	0.84403	0.21053
S0_M_T1059	0.1	4.3367	1	1.8398	0.049655
S0_M_T1096	0.1	4.1788	1	1.4027	0.0041295
S0_M_T1107	0.13557	6.4914	1	1.0333	0.099822
S0_M_T1117	0.10827	4.9854	1	0.99076	0.068702
S0_M_T1125	0.15729	5.1484	1	0.80803	0.16028
S0_M_T1143	0.1	5.9297	1	0.69563	0.0011443
S0_M_T1145	0.22552	5.62	1	0.66388	0.32323
S0_M_T1158	0.5418	7.6903	1	0.14197	0.92801
S0_M_T1176	0.43154	5.2938	1	0.22473	0.83783
S0_M_T1204	0.1	4.3263	1	0.35618	0.00026478
S0_M_T1205	0.2419	5.5017	1	0.25324	0.59026
S0_M_T1208	0.36075	5.6297	1	0.053131	0.93854
S0_M_T121	0.33084	7.0989	1	0.1782	0.79293
S0_M_T1210	0.1458	6.5282	1	0.11211	0.54172
S0_M_T1212	0.42117	7.054	1	0.33727	0.76629
S0_M_T1213	0.16874	7.0192	1	0.10889	0.61981
S0_M_T1214	0.32691	6.0188	1	0.22327	0.749
S0_M_T1215	0.26985	8.262	1	0.13223	0.77443
S0_M_T1218	0.17483	5.5605	1	0.087384	0.6856
S0_M_T1219	0.38707	5.7259	1	0.10505	0.8989
S0_M_T1222	0.32768	5.7134	1	0.18311	0.78521
S0_M_T123	0.2168	5.4578	1	0.19232	0.60376
S0_M_T1237	0.17557	5.6549	1	1.1956	0.13849
S0_M_T1238	0.17557	5.6549	1	1.1956	0.13849
S0_M_T1251	0.55462	6.6705	1	0.16024	0.92289
S0_M_T1252	0.55462	6.6705	1	0.16024	0.92289
S0_M_T1273	0.1	3.5761	1	0.51973	0.12403
S0_M_T1274	0.1	3.5761	1	0.51973	0.12403
S0_M_T1279	0.15538	6.7876	1	0.53327	0.22012
S0_M_T1280	0.15538	6.7876	1	0.53327	0.22012
S0_M_T1289	0.20098	5.5375	1	0.17855	0.58513
S0_M_T1290	0.20098	5.5375	1	0.17855	0.58513
S0_M_T1305	0.18057	5.4907	1	0.41801	0.32718
S0_M_T1306	0.18057	5.4907	1	0.41801	0.32718
S0_M_T1309	0.21939	6.507	1	0.22854	0.56767
S0_M_T1310	0.21939	6.507	1	0.22854	0.56767
S0_M_T1311	0.45147	5.7021	1	0.1421	0.89942
S0_M_T1312	0.45147	5.7021	1	0.1421	0.89942
S0_M_T1313	0.25657	7.0309	1	0.49682	0.45237
S0_M_T1314	0.25657	7.0309	1	0.49682	0.45237
S0_M_T137	0.19578	6.7195	1	0.30935	0.43581
S0_M_T138	0.35243	6.7253	1	0.17767	0.81337
S0_M_T140	0.25537	7.0028	1	0.67768	0.37497
S0_M_T142	0.19578	6.7195	1	0.30935	0.43581
S0_M_T143	0.35243	6.7253	1	0.17767	0.81337
