id	dg	x0	t0	mse	rsq
EMPTY	0.30269	14.4848	1	0.10791	0.80872
S0_M_T1	0.47895	6.6731	1	0.046726	0.9607
S0_M_T10	0.50865	6.6328	1	0.085918	0.93748
S0_M_T1001	0.54115	6.5276	1	0.094888	0.9389
S0_M_T1002	0.54179	7.0381	1	0.044535	0.97043
S0_M_T1006	0.5505	6.7545	1	0.11883	0.927
S0_M_T1007	0.44415	6.0366	1	0.12935	0.88365
S0_M_T1008	0.4685	5.8555	1	0.18524	0.85508
S0_M_T1009	0.45499	5.7583	1	0.25197	0.80359
S0_M_T1013	0.59749	7.4223	1	0.061133	0.96675
S0_M_T1014	0.53347	6.6197	1	0.12112	0.92126
S0_M_T1017	0.46283	5.9341	1	0.13356	0.88872
S0_M_T102	0.60645	8.0824	1	0.25931	0.87597
S0_M_T1022	0.48224	7.1595	1	0.027765	0.97659
S0_M_T1027	0.62455	7.2564	1	0.1266	0.93881
S0_M_T1029	0.49889	6.095	1	0.44536	0.73565
S0_M_T1033	0.46385	6.6214	1	0.026886	0.97552
S0_M_T1034	0.46544	6.654	1	0.063588	0.94434
S0_M_T1039	0.7305	8.3173	1	0.050343	0.98141
S0_M_T1041	0.37089	7.3901	1	0.067436	0.91037
S0_M_T1047	0.55195	9.8007	1	0.028224	0.98174
S0_M_T1048	0.6288	7.5934	1	0.19184	0.91121
S0_M_T1050	0.54729	8.8852	1	0.011122	0.9926
S0_M_T1051	0.50582	7.2714	1	0.010964	0.99147
S0_M_T1052	0.57988	7.3317	1	0.068692	0.96059
S0_M_T1055	0.57229	6.7662	1	0.10935	0.93716
S0_M_T1056	0.47835	6.5229	1	0.08926	0.92735
S0_M_T1059	0.45076	9.6535	1	0.010117	0.9901
S0_M_T1060	0.50261	6.1828	1	0.13737	0.90155
S0_M_T1063	0.42878	6.1183	1	0.066586	0.9322
S0_M_T1065	0.36354	7.8622	1	0.10867	0.85828
S0_M_T1072	0.52971	7.2444	1	0.0077099	0.99451
S0_M_T1073	0.45459	6.8294	1	0.076412	0.93088
S0_M_T1075	0.52468	6.2731	1	0.13012	0.91331
S0_M_T1076	0.5004	6.7363	1	0.094805	0.92934
S0_M_T1078	0.33166	6.2873	1	0.039701	0.93242
S0_M_T1082	0.57482	6.5334	1	0.22821	0.87819
S0_M_T1083	0.53796	7.3135	1	0.0557	0.96279
S0_M_T1086	0.45281	6.2148	1	0.031272	0.97028
S0_M_T1087	0.41751	6.5796	1	0.044706	0.95102
S0_M_T1088	0.42457	6.1674	1	0.067795	0.92978
S0_M_T1089	0.40873	6.3259	1	0.068896	0.92352
S0_M_T109	0.45003	7.6627	1	0.039705	0.96212
S0_M_T1090	0.41574	6.597	1	0.055792	0.93912
S0_M_T1091	0.62626	7.4693	1	0.032277	0.98374
S0_M_T1093	0.56986	6.9541	1	0.12563	0.92791
S0_M_T1096	0.59935	8.4643	1	0.0095097	0.99471
S0_M_T1100	0.51852	6.8509	1	0.022782	0.98327
S0_M_T1105	0.44839	7.9883	1	0.10733	0.90317
S0_M_T1107	0.43155	8.4091	1	0.020458	0.97842
S0_M_T111	0.41868	6.9521	1	0.12345	0.8761
S0_M_T1110	0.42978	6.5726	1	0.064498	0.93447
S0_M_T1113	0.40682	6.8558	1	0.052237	0.94039
S0_M_T1116	0.53479	6.6486	1	0.12516	0.91922
S0_M_T1117	0.43984	7.8607	1	0.0067709	0.99302
S0_M_T1119	0.46591	5.9038	1	0.15039	0.87786
S0_M_T112	0.39871	6.366	1	0.014114	0.98248
S0_M_T1125	0.44917	7.5077	1	0.037211	0.96428
S0_M_T1126	0.53859	7.315	1	0.056835	0.96214
S0_M_T113	0.39222	6.2919	1	0.098097	0.88648
S0_M_T1130	0.48837	5.954	1	0.20217	0.85454
S0_M_T1135	0.48093	7.3656	1	0.034895	0.97059
