id	 1hr	 2hr	 3hr	 4hr	 6hr	 7hr	 8hr	 9hr	10hr
EMPTY	14.107	13.437	13.2402	12.9282	13.0589	12.1524	11.9881	10.1213	10.3956
S0_M_T10	6.209	5.7738	5.8239	5.2889	5.2224	5.033	3.8673	3.2224	3.2224
S0_M_T1002	6.6796	6.0604	6.2952	5.5914	5.0298	4.618	3.5778	3.2224	3.2224
S0_M_T1006	6.3931	5.8023	6.1458	5.8083	5.3099	4.8173	3.2224	3.2224	3.2224
S0_M_T1008	5.9201	5.085	4.6864	3.9669	3.5443	3.7702	3.2224	3.2224	3.2224
S0_M_T1009	6.3343	5.5225	5.1193	4.382	4.0298	3.8633	3.2224	3.2224	3.2224
S0_M_T1013	7.2401	6.3774	6.5344	6.1633	5.6818	5.448	4.9928	3.2224	3.2224
S0_M_T1014	6.4496	5.7447	5.5739	4.8414	4.2224	4.0332	4.1083	3.2224	3.2224
S0_M_T1017	5.9595	5.085	5.1718	4.9669	4.5443	3.8633	3.4078	3.2224	3.2224
S0_M_T102	5.7505	5.8303	5.3644	5.2889	5.3099	4.2555	4.5778	3.2664	3.986
S0_M_T1022	6.8779	6.0366	6.1458	6.0258	5.3099	5.1485	4.5778	3.2224	3.2224
S0_M_T1027	6.8779	5.8578	6.4519	6.1893	5.3099	4.9075	3.9928	3.2224	3.2224
S0_M_T1029	6.4496	5.9112	5.3644	4.7743	4.2224	4.1112	3.2224	3.2224	3.2224
S0_M_T1032	6.1073	5.3004	5.1193	5.24	4.8074	4.4481	3.8673	3.2224	3.2224
S0_M_T1034	6.273	5.8023	5.8563	5.4264	5.1293	5.185	4.3147	3.2224	3.2224
S0_M_T1039	8.0697	7.2059	7.0083	6.8738	6.1293	5.8854	4.8002	3.2224	3.2224
S0_M_T1041	6.504	5.9627	6.5739	6.4481	6.0804	5.7699	5.2152	3.2224	3.2224
S0_M_T1047	8.9471	8.2987	8.1782	8.0113	7.5974	7.0329	6.0517	3.7425	4.3548
S0_M_T1048	7.5554	6.6529	6.4729	6.0824	5.3099	4.9075	3.7298	3.2224	3.2224
S0_M_T1050	7.8247	7.3578	7.7043	7.5317	7.0804	6.4777	5.6558	3.2224	3.5716
S0_M_T1051	6.504	5.7447	5.9791	5.7039	5.6147	5.3225	4.4078	3.2224	3.2224
S0_M_T1052	7.1578	6.4693	6.4519	6.1893	5.5443	4.4481	3.7298	3.2224	3.2224
S0_M_T1055	6.7261	5.8303	5.9494	5.6674	5.2224	4.618	4.1083	3.2224	3.2224
S0_M_T1056	5.9979	5.1751	5.5344	5.0258	4.3923	4.7211	3.5778	3.2224	3.2224
S0_M_T1059	8.8508	8.3431	8.6818	8.4099	7.9639	7.4404	6.3386	3.8299	4.3076
S0_M_T1063	5.9595	5.3783	5.5344	5.24	4.5443	4.2555	3.2224	3.2224	3.2224
S0_M_T1065	6.5564	6.0124	6.919	6.7914	6.2668	5.4778	4.8673	3.2224	3.2224
S0_M_T1072	6.304	5.9627	6.0923	5.8083	5.6147	4.3867	3.2224	3.2224	3.2224
S0_M_T1073	6.0353	5.4157	5.6864	5.8083	5.5443	4.8631	3.7298	3.2224	3.2224
S0_M_T1075	6.1073	5.085	5.3186	4.8414	4.0298	3.5638	3.2224	3.2224	3.2224
S0_M_T1076	5.7505	5.1307	5.5739	5.5519	5.0298	3.7702	3.4078	3.2224	3.2224
S0_M_T1082	6.958	5.9372	5.7567	5.7743	5.1293	4.507	3.9928	3.2224	3.2224
S0_M_T1083	7.0883	6.152	6.5932	5.7395	5.746	5.721	3.8673	3.2224	3.2224
S0_M_T109	6.4771	6.1069	5.722	5.2889	4.5443	5.185	4.1083	3.2224	3.2224
S0_M_T1090	6.3343	5.3783	5.4519	5.3362	5.1293	4.9924	3.7298	3.2224	3.2224
S0_M_T1091	6.5819	6.174	5.6498	5.4694	4.6818	4.5636	3.4078	3.2224	3.2224
S0_M_T1093	6.6796	5.9112	5.9494	5.4264	4.6818	4.618	3.7298	3.2224	3.2224
S0_M_T1096	8.0876	7.4777	7.6498	7.24	6.6147	6.0529	5.0517	3.2224	3.5716
S0_M_T1100	6.607	5.8023	6.1193	5.6299	4.8074	4.4481	3.2224	3.2224	3.2224
S0_M_T1105	6.7261	6.1957	6.9343	7.1633	6.6147	5.8172	5.2658	3.2224	3.2224
S0_M_T1107	7.967	7.3674	7.4519	7.4154	6.8948	6.2029	5.1083	3.7425	3.7234
S0_M_T1110	6.142	5.622	6.0083	5.6299	5.4703	4.618	3.8673	3.2224	3.2224
S0_M_T1113	5.6576	5.3399	5.6124	5.5113	5.1293	3.5638	3.2224	3.2224	3.2224
S0_M_T1116	6.1759	5.715	5.7567	5.3362	5.2224	4.6705	4.3147	3.2224	3.2224
S0_M_T1117	7.3028	6.6685	6.7738	6.5113	5.9229	5.6704	4.9314	3.3278	3.3091
S0_M_T1119	6.0718	5.1751	5.0649	4.7743	4.6818	4.2555	3.2224	3.2224	3.2224
S0_M_T1125	6.9964	6.4332	6.3417	6.4044	5.9773	4.8173	3.4078	3.2224	3.2224
S0_M_T1126	6.5304	5.9372	5.919	5.8738	4.6818	4.8631	3.5778	3.2224	3.2224
S0_M_T1135	6.6316	5.8847	6.5344	6.3127	5.746	5.5069	4.4078	3.2224	3.2224
S0_M_T1136	6.2414	5.3783	5.4519	5.8083	5.0298	4.77	3.8673	3.2224	3.2224
S0_M_T1143	7.9573	7.6835	7.4625	7.2889	6.9229	7.0128	6.0803	4.2016	3.986
S0_M_T1145	6.9964	6.3774	6.2713	6.0824	5.4703	5.1485	4.4953	3.2224	3.2224
S0_M_T1149	6.504	5.5564	6.2224	5.5914	5.3923	4.8173	4.4078	3.2224	3.2224
S0_M_T1150	7.0704	6.2588	5.722	5.24	5.0298	4.2555	3.8673	3.2224	3.2224
S0_M_T1151	6.3343	5.2181	7.6864	7.7218	7.5443	5.863	5.9314	3.2224	3.2224
S0_M_T1152	6.4217	4.3802	6.8074	6.9669	7.1766	5.8854	5.5371	3.2224	3.2224
S0_M_T1153	5.9595	4.3802	6.2952	6.3127	6.3923	5.4177	5.0517	3.2224	3.2224
S0_M_T1154	6.4771	5.9112	5.722	5.2889	5.1293	4.8173	3.5778	3.2224	3.2224
S0_M_T1158	8.2868	7.4688	6.9494	6.3593	5.8074	5.618	4.6558	3.2664	3.2224
S0_M_T1162	6.6796	5.715	5.6498	5.4694	4.9229	4.618	3.4078	3.2224	3.2224
S0_M_T117	6.5564	5.7738	5.2713	4.8414	3.2224	3.9507	3.4078	3.2224	3.2224
S0_M_T1176	5.7505	5.3004	4.3644	3.5519	3.2224	3.2224	3.2224	3.2224	3.2224
S0_M_T118	7.392	6.8707	6.4088	5.6674	4.8074	4.507	3.8673	3.2224	3.2224
S0_M_T119	6.9964	6.3774	5.4937	5.5519	5.3923	4.9075	3.7298	3.2224	3.2224
S0_M_T1194	6.0353	5.2181	4.8239	4.2889	4.2224	3.5638	3.2224	3.2224	3.2224
S0_M_T1205	6.607	5.8023	5.0649	4.7039	3.8074	4.2555	3.4078	3.2224	3.2224
S0_M_T1208	5.8378	5.3004	4.4519	4.2889	3.8074	3.7702	3.2224	3.2224	3.2224
S0_M_T121	8.2475	7.4236	6.9343	6.3593	5.8074	5.618	4.7298	3.2224	3.2224
