id	1hr	2hr	3hr	4hr	5hr	6hr	7hr	9hr
EMPTY	11.6879	11.5139	11.2798	10.964	10.651	10.7189	10.0581	8.8156
S0_M_T102	2.5867	2.5867	4.1409	3.1822	3.7739	4.0439	4.2833	3.487
S0_M_T1039	5.318	4.8534	5.4576	5.6771	5.3997	5.5836	4.7919	2.6183
S0_M_T1052	3.4807	4.4416	5.8194	5.3106	4.8363	4.8318	3.2849	2.5867
S0_M_T1059	2.5867	3.4543	5.5759	5.9092	5.9843	6.6495	4.7919	3.3426
S0_M_T1096	2.5867	3.2876	5.187	5.0579	5.4415	5.2276	3.1697	2.5867
S0_M_T1107	5.1335	5.6567	6.9407	6.892	6.998	6.8871	5.6694	3.8225
S0_M_T1117	3.761	3.977	5.5759	5.4851	5.7043	5.2842	4.3377	2.6183
S0_M_T1125	4.1	4.2733	5.4159	5.1644	5.7714	5.3386	3.9756	2.5867
S0_M_T1143	4.8033	5.2661	6.6482	6.6386	6.6514	6.6278	5.9037	4.5703
S0_M_T1145	4.3743	4.9682	5.7539	5.8466	5.5216	5.1687	4.1066	2.6797
S0_M_T1158	7.2854	7.0553	6.4763	6.5031	5.8355	5.1073	4.8678	2.6797
S0_M_T1176	6.1005	4.6621	4.2398	3.9499	3.1238	2.5867	2.5867	2.5867
S0_M_T1204	3.761	3.6038	5.1365	4.5303	4.7052	4.7539	4.6269	3.3801
S0_M_T1205	5.4423	4.7288	4.9735	4.943	5.0674	5.2276	3.3916	3.224
S0_M_T1208	5.8541	4.9682	4.7898	4.8181	3.8992	3.9065	3.7535	2.5867
S0_M_T121	6.8036	6.2848	6.6661	6.3079	6.0931	6.107	5.1671	3.767
S0_M_T1210	6.2667	6.1454	6.304	6.1869	6.3991	5.8689	6.0736	4.7528
S0_M_T1212	6.4358	6.3284	6.5163	5.7127	6.1697	5.5836	4.7919	2.6797
S0_M_T1213	6.9505	6.2398	7.0402	6.7106	6.5404	6.3114	6.2541	5.2135
S0_M_T1214	5.3606	5.5502	5.6133	5.2635	5.1198	5.1073	3.9756	2.6797
S0_M_T1215	7.8984	7.7031	7.8173	7.665	7.7036	7.2127	6.8007	5.4696
S0_M_T1218	5.5197	5.4352	5.0842	4.6078	5.1198	5.1687	4.7118	3.767
S0_M_T1219	5.941	4.6621	5.1365	4.7513	4.6349	3.5849	3.2849	2.5867
S0_M_T1222	5.0835	5.5865	4.9735	4.943	5.2192	3.9065	3.9053	2.5867
S0_M_T123	4.6047	5.4352	5.3729	5.0579	4.7722	4.7539	4.2833	3.0947
S0_M_T1237	4.1973	4.6621	5.942	6.462	6.0123	5.671	4.5826	2.6183
S0_M_T1238	4.1973	4.6621	5.942	6.462	6.0123	5.671	4.5826	2.6183
S0_M_T1251	6.2441	6.2168	5.882	5.5256	4.4831	3.7547	2.5867	2.5867
S0_M_T1252	6.2441	6.2168	5.882	5.5256	4.4831	3.7547	2.5867	2.5867
S0_M_T1273	3.1325	2.5867	4.4195	4.3615	4.8976	4.8318	3.9756	3.5541
S0_M_T1274	3.1325	2.5867	4.4195	4.3615	4.8976	4.8318	3.9756	3.5541
S0_M_T1279	5.7932	6.1696	6.9842	6.9226	6.8507	6.8688	5.7717	4.4344
S0_M_T1280	5.7932	6.1696	6.9842	6.9226	6.8507	6.8688	5.7717	4.4344
S0_M_T1289	5.0316	5.3947	5.0842	5.0016	5.013	5.2276	4.5368	3.1821
S0_M_T1290	5.0316	5.3947	5.0842	5.0016	5.013	5.2276	4.5368	3.1821
S0_M_T1305	4.8033	5.0223	5.0842	5.7127	4.9564	5.671	4.3901	3.0489
S0_M_T1306	4.8033	5.0223	5.0842	5.7127	4.9564	5.671	4.3901	3.0489
S0_M_T1309	6.15	5.9073	6.4763	5.6407	6.0123	6.2273	5.2545	4.0253
S0_M_T1310	6.15	5.9073	6.4763	5.6407	6.0123	6.2273	5.2545	4.0253
S0_M_T1311	5.9126	4.8534	5.4159	4.3615	3.6367	3.1705	2.5867	2.5867
S0_M_T1312	5.9126	4.8534	5.4159	4.3615	3.6367	3.1705	2.5867	2.5867
S0_M_T1313	5.9962	6.4518	7.0539	6.7959	6.5784	6.6708	5.2825	3.9772
S0_M_T1314	5.9962	6.4518	7.0539	6.7959	6.5784	6.6708	5.2825	3.9772
S0_M_T137	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T138	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T140	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T142	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T143	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T145	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T148	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T149	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T150	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T152	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T153	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T155	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T156	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T157	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T159	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T161	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T162	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T164	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T166	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T167	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T169	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T170	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T171	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T172	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T173	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T175	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T176	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T177	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T179	5.6284	6.4118	7.4549	6.8764	6.6154	6.3908	5.3894	3.8495
S0_M_T180	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T181	6.1255	6.018	6.6482	6.4827	6.6154	6.3648	5.5592	4.2645
S0_M_T182	6.3747	6.0958	5.9711	6.0547	5.5216	5.7129	4.6269	3.224
S0_M_T191	5.6284	5.2661	6.0819	5.6407	5.7043	5.4905	4.7118	3.6182
