id,dg,x0,t0
S0_M_T1002,0.54179,7.0381,1
S0_M_T1022,0.48223999999999995,7.1595,1
S0_M_T1033,0.46385,6.6214,1
S0_M_T1039,0.7305,8.3173,1
S0_M_T1047,0.55195,9.8007,1
S0_M_T1050,0.5472899999999999,8.8852,1
S0_M_T1051,0.5058199999999999,7.2714,1
S0_M_T1059,0.45076000000000005,9.6535,1
S0_M_T1072,0.52971,7.2444,1
S0_M_T1078,0.33166,6.2873,1
S0_M_T1086,0.45281000000000005,6.2148,1
S0_M_T109,0.45003000000000004,7.6627,1
S0_M_T1091,0.62626,7.4693,1
S0_M_T1096,0.59935,8.4643,1
S0_M_T1100,0.51852,6.8509,1
S0_M_T1107,0.43155,8.4091,1
S0_M_T1117,0.43983999999999995,7.8607,1
S0_M_T112,0.39871,6.3660000000000005,1
S0_M_T1125,0.44916999999999996,7.5077,1
S0_M_T1135,0.48093,7.3656,1
S0_M_T1143,0.56065,8.7661,1
S0_M_T1145,0.45098999999999995,7.2166,1
S0_M_T118,0.56085,8.2827,1
S0_M_T1210,0.38569000000000003,8.1774,1
S0_M_T1213,0.40279,8.8104,1
S0_M_T1215,0.5705100000000001,9.735,1
S0_M_T1217,0.5825199999999999,7.614,1
S0_M_T1241,0.5132399999999999,6.5852,1
S0_M_T1263,0.63327,7.4709,1
S0_M_T1279,0.70421,7.8422,1
S0_M_T1280,0.59035,9.6923,1
S0_M_T137,0.51977,9.4643,1
S0_M_T139,0.51737,7.9637,1
S0_M_T142,0.51977,9.4643,1
S0_M_T144,0.51737,7.9637,1
S0_M_T147,0.51737,7.9637,1
S0_M_T149,0.51977,9.4643,1
S0_M_T151,0.51737,7.9637,1
S0_M_T153,0.51977,9.4643,1
S0_M_T154,0.51737,7.9637,1
S0_M_T156,0.51977,9.4643,1
S0_M_T158,0.51737,7.9637,1
S0_M_T161,0.51977,9.4643,1
S0_M_T163,0.51737,7.9637,1
S0_M_T168,0.51737,7.9637,1
S0_M_T170,0.51977,9.4643,1
S0_M_T172,0.51977,9.4643,1
S0_M_T174,0.51737,7.9637,1
S0_M_T176,0.51977,9.4643,1
S0_M_T178,0.51737,7.9637,1
S0_M_T181,0.51977,9.4643,1
S0_M_T19,0.57148,7.1193,1
S0_M_T193,0.51068,7.9227,1
S0_M_T237,0.46088,6.9141,1
S0_M_T238,0.51068,7.9227,1
S0_M_T259,0.51895,6.8491,1
S0_M_T261,0.36751,7.004,1
S0_M_T263,0.51895,6.8491,1
S0_M_T32,0.59858,7.4655,1
S0_M_T321,0.55815,7.3573,1
S0_M_T355,0.6167,9.916,1
S0_M_T359,0.6167,9.916,1
S0_M_T364,0.59673,7.7037,1
S0_M_T370,0.5686899999999999,7.2998,1
S0_M_T396,0.53815,6.9407,1
S0_M_T428,0.54925,7.2681,1
S0_M_T461,0.57203,6.8708,1
S0_M_T468,0.55986,8.366,1
S0_M_T470,0.55645,8.6407,1
S0_M_T497,0.58941,7.5189,1
S0_M_T499,0.55683,10.0147,1
S0_M_T505,0.56335,7.4082,1
S0_M_T518,0.48599,7.2622,1
S0_M_T519,0.48208,6.4176,1
S0_M_T52,0.49732,6.7927,1
S0_M_T520,0.48599,7.2622,1
S0_M_T523,0.48599,7.2622,1
S0_M_T524,0.48208,6.4176,1
S0_M_T548,0.51377,7.4910000000000005,1
S0_M_T554,0.54683,7.499,1
S0_M_T589,0.64017,9.2418,1
S0_M_T614,0.48628000000000005,8.1464,1
S0_M_T618,0.20653000000000002,7.3056,1
S0_M_T652,0.5695100000000001,9.1124,1
S0_M_T662,0.55499,9.5364,1
S0_M_T677,0.60561,10.2864,1
S0_M_T683,0.37882,7.837999999999999,1
S0_M_T686,0.61379,8.4742,1
S0_M_T687,0.63284,7.5653,1
S0_M_T688,0.55286,7.0823,1
S0_M_T725,0.50325,6.6745,1
S0_M_T746,0.3728,8.0717,1
S0_M_T763,0.60445,7.2982,1
S0_M_T768,0.41693,6.1411,1
S0_M_T775,0.63993,7.5965,1
S0_M_T779,0.55533,6.8808,1
S0_M_T791,0.5693600000000001,8.4307,1
S0_M_T792,0.4981,8.333,1
S0_M_T802,0.5957,9.2125,1
S0_M_T807,0.40278,6.4676,1
S0_M_T809,0.41596000000000005,7.9424,1
S0_M_T81,0.63797,7.4289,1
S0_M_T812,0.48313,6.5808,1
S0_M_T834,0.6147699999999999,7.1923,1
S0_M_T838,0.5597,7.1122,1
S0_M_T84,0.42058999999999996,6.4108,1
S0_M_T845,0.66293,8.0692,1
S0_M_T847,0.63184,8.7576,1
S0_M_T859,0.46953999999999996,7.8533,1
S0_M_T861,0.55293,7.7463,1
S0_M_T867,0.55291,8.6947,1
S0_M_T874,0.54094,6.7786,1
S0_M_T900,0.46061,6.3042,1
S0_M_T906,0.50333,6.7827,1
S0_M_T911,0.42883999999999994,6.7489,1
S0_M_T912,0.53761,7.25,1
S0_M_T917,0.47261000000000003,6.5739,1
S0_M_T931,0.41058,7.1416,1
S0_M_T954,0.62683,8.3844,1
S0_M_T956,0.4948,8.1017,1
S0_M_T961,0.55107,6.7924,1
S0_M_T964,0.4791,8.7675,1
S0_M_T965,0.54199,9.1324,1
S0_M_T966,0.5274300000000001,8.4011,1
S0_M_T976,0.47995,8.9826,1
S0_M_T985,0.52561,8.6993,1
S0_M_T998,0.53342,8.1565,1
S1_H_T100,0.5713199999999999,7.1969,1
S1_H_T1011,0.50272,7.1164,1
S1_H_T1018,0.62202,7.6989,1
S1_H_T1031,0.5402100000000001,8.0695,1
S1_H_T1039,0.6140899999999999,10.0039,1
S1_H_T1051,0.7372,8.3856,1
S1_H_T1073,0.48567,6.8782,1
S1_H_T1094,0.56703,8.0805,1
S1_H_T1095,0.61469,7.848,1
S1_H_T1102,0.7308,8.0955,1
S1_H_T111,0.52754,9.0423,1
S1_H_T1145,0.53904,6.9578,1
S1_H_T1152,0.5715399999999999,7.4933,1
S1_H_T1158,0.71038,8.1841,1
S1_H_T117,0.32151,7.5313,1
S1_H_T1217,0.54375,6.7271,1
S1_H_T1228,0.50279,8.4742,1
S1_H_T1234,0.4853,7.3175,1
S1_H_T1243,0.43141999999999997,8.027999999999999,1
S1_H_T1245,0.57577,7.6132,1
S1_H_T1254,0.5028600000000001,8.7516,1
S1_H_T1262,0.60911,7.6896,1
S1_H_T1282,0.63465,7.3913,1
S1_H_T1283,0.57395,7.6845,1
S1_H_T1287,0.43432,8.1782,1
S1_H_T129,0.5615399999999999,7.0343,1
S1_H_T1297,0.3634,8.8411,1
S1_H_T1300,0.39006,7.4775,1
S1_H_T1305,0.5272899999999999,8.0843,1
S1_H_T1312,0.54437,6.7573,1
S1_H_T1336,0.52736,6.9479999999999995,1
S1_H_T1365,0.39539,6.2891,1
S1_H_T1393,0.38793,7.3216,1
S1_H_T1395,0.5693199999999999,7.8481,1
S1_H_T1400,0.5818300000000001,6.9662,1
S1_H_T1401,0.45169,7.4545,1
S1_H_T1430,0.41493,8.4192,1
S1_H_T1437,0.52491,7.3736,1
S1_H_T1473,0.5968100000000001,7.0558,1
S1_H_T149,0.49258,6.414,1
S1_H_T1490,0.6555300000000001,8.5947,1
S1_H_T1500,0.5361899999999999,8.2329,1
S1_H_T153,0.5794100000000001,9.2336,1
S1_H_T1531,0.57898,7.2102,1
S1_H_T1532,0.47185,7.1529,1
S1_H_T1557,0.51928,6.7902,1
S1_H_T156,0.48585,7.7431,1
S1_H_T1562,0.51935,6.5022,1
S1_H_T1571,0.53049,6.7827,1
