True_Degradation_Rate,Predicted_Degradation_Rate
-2.1988,-2.117059760889436
-2.0598,-2.709823666808022
-1.7632,-1.7877044374995879
-1.3768,-1.1963701756254155
-1.7972,-1.3856820645495846
-1.2736,-1.017508056178937
-2.4598,-2.458865905486657
-2.8605,-2.60101795728062
-1.8497,-1.9935308927519855
-1.3973,-1.1482658721479733
-1.3797,-1.4363484203840664
-1.9855,-1.8272805891128296
-1.6647,-1.697721662446087
-2.4739,-2.262696391386185
-2.2289,-1.8409350705029668
-1.6946,-1.9863420696407816
-2.023,-2.269438213351074
-1.8145,-2.0340813971778613
-1.4338,-2.068617391757491
-2.0341,-1.9597681926992971
-1.1389,-2.6935814462865064
-1.3925,-1.270189827035669
-1.7746,-2.0178964084221054
-5.0,-2.665625765726981
-1.9397,-2.472222065213858
-1.615,-2.1438406018670566
-2.2292,-2.0208030926109055
-1.7355,-1.7947534686731172
-1.9399,-1.6770751234585868
-1.3075,-1.9788362674083415
-1.2979,-1.585202465053521
-2.1281,-2.343486755513134
-1.7079,-1.2518702611470212
-1.6751,-1.8101859678068641
-1.548,-1.989947927177449
-2.5399,-2.0175586113288597
-1.4465,-1.5268812335274224
-1.6665,-2.166939039930502
-3.1967,-2.4443447331330668
-1.1218,-1.2016334780343083
-2.5578,-2.30530545535118
-2.0785,-2.0868058832845864
-1.9369,-1.9705645733916868
-1.0562,-1.5642430326640513
-2.2566,-2.184179987009834
-1.4731,-1.0225583685975705
-1.6896,-1.3014490034076938
-1.1166,-0.9913654589561278
-2.01,-1.7904794205220327
-1.8683,-1.8108691805766883
-1.9729,-2.171004216972815
-2.5079,-2.6304714800101614
-2.8742,-2.4951683234220132
-3.1272,-2.6390828527612173
-2.0726,-1.6996002934002208
-2.0734,-1.9051311691706363
-2.108,-1.8281024797218335
-2.4975,-2.416112687678901
-3.0058,-2.9374092417992568
-1.7651,-1.5186425698321728
-2.204,-2.752833545544964
-0.96628,-1.8506794971336238
-1.3007,-0.8230638177773149
-1.8603,-2.1833346934210187
-1.861,-2.204968677986854
-1.4715,-2.1454194925757597
-2.1628,-1.973033010984337
-5.0,-2.4978535316459936
-1.6719,-1.7126517805486179
-1.8001,-1.7371082246405518
-2.699,-2.8472696368002546
-1.5474,-2.1488470414679868
-2.1434,-2.3775887587967706
-2.2659,-1.726368630238085
-2.303,-2.7219972009359115
-1.6741,-1.8938377909353952
-2.2575,-2.0998548706480045
-1.9648,-1.6995506742496103
-2.2394,-2.201345745820404
-1.2344,-1.746793138019124
-1.9472,-1.545257730918782
